CNT,Country,SocioEcoStatus,Attitude,Discipline,ParentEducation,Cooperation,TeacherFeedback,TeacherEngagment,TeacherSupport,TruantDay,TruantClass,PositiveAffect,LearningTime,Bullying,ClassSize,ExtraCurSciClub,MaterialShortage,StaffShortage,StudentBehaviour,StudentTeacherRatio,TeacherQualification,TeacherBehaviour,GNI
ALB,Albania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.43452833,47.55450695,NA,NA,11.49198296,8.33029988,NA,7.144611802,11800
ARE,United Arab Emirates,0.527899683,0.784880199,0.030938808,5.235790537,0.303506428,0.484793131,0.203071626,0.294152575,1.29310857,1.446399284,-0.095940034,1729.275563,0.295943742,30.08903613,82.26733267,-0.052038699,0.159176207,15.06648036,14.03556393,91.18381155,12.37183413,65220
AUS,Australia,0.194603345,0.277639162,-0.235741047,4.824681897,0.046809346,0.092327284,0.190130872,0.224880206,1.406003973,1.240237565,-0.158591208,1543.484353,0.452594161,25.14590832,38.28252749,-0.385617291,-0.348320254,19.02792619,13.1355292,93.4564113,13.57972044,46185.51338
AUT,Austria,0.101697204,-0.256223299,0.254796562,4.489775051,0.252839702,-0.20911387,-0.262657474,-0.463996696,1.147536232,1.225712624,0.442594777,1749.740479,0.097075415,24.18047796,5.022331652,-0.26585655,0.184287517,20.5238932,11.7310961,64.9419375,6.816222729,49463.58669
BEL,Belgium,0.186641314,-0.487696483,-0.141503214,4.982429665,-0.050790506,-0.17214398,-0.39471555,-0.249572605,1.096158068,1.15100375,0.025182379,1667.39709,0.183315236,19.73083781,5.653362567,0.112694832,0.23494214,22.04732177,9.1205820460000009,47.44999642,22.09928739,46868.13072
BGR,Bulgaria,-0.059316693,-0.054259769,-0.186712817,4.879441187,-0.027115609,0.39649072,0.222180217,0.067908112,1.655253623,1.691351253,-0.339874071,1460.03595,0.144023693,25.02117926,60.87546071,-0.25894149,-1.143843973,28.90451623,12.14063041,97.80150954,17.82025345,17770
BRA,Brazil,-0.975413553,0.126825221,-0.224345041,3.689788503,-0.049675976,0.157382217,0.075637516,0.396500154,1.577337637,1.5836166249999999,-0.160255826,1482.903202,-0.228735237,36.44326063,12.70107786,-0.048606808,-0.074384329,45.05072934,29.05240638,32.98548287,28.88331821,14496.0643
CAN,Canada,0.480087119,0.319281783,-0.004290772,5.267365053,0.083028702,0.209679149,0.236755955,0.260576283,1.245102648,1.366214099,-0.146649803,1618.325983,0.385819122,26.37828376,56.500229589999996,-0.461296348,-0.197264403,12.4811823,15.9418741,81.08069675,9.371917393,43987.07843
CHE,Switzerland,0.136791733,-0.402839723,0.054410604,4.590015655,0.144513492,-0.217329208,-0.10449073,-0.18331697,1.144998257,1.248120301,0.330444696,1512.285636,0.238284563,20.11325915,37.19580729,-0.380305594,-0.427691642,15.17833158,12.21519922,70.24425343,6.357537454,65356.74203
CHL,Chile,-0.148638595,0.3265211,-0.090991739,4.583612284,0.127811943,0.117420205,0.219430661,0.289825435,1.115834064,1.246732266,0.040752069,1915.814771,0.148215156,33.75527098,35.45340129,-0.322893483,-0.232547794,20.84680993,20.74285886,75.1737535,29.39795499,21912.66359
COL,Colombia,-0.823367018,0.514315486,-0.002764705,4.447129124,0.082959295,0.339092936,0.063213176,0.286013778,1.544992997,1.564095792,-0.315654098,1592.863173,0.163337928,35.9514407,34.78357965,0.637000374,0.466881287,22.88075659,28.45077408,82.37301042,12.07118461,13274.24599
CRI,Costa Rica,-0.788051265,0.496750988,0.127802459,4.199492689,0.343732903,0.06277857,0.209571829,0.433487226,1.486049677,1.560673012,-0.153175428,1902.245854,0.102273007,27.66055009,24.19803534,1.02832164,0.91089623,19.29803667,16.93470148,96.88407401,19.33502746,15914.66316
CZE,Czech Republic,-0.136840719,-0.281929612,-0.18662082,4.383323424,-0.18520018,-0.11531048,-0.166873878,-0.317588555,1.116634227,1.138238405,-0.238644049,1520.071248,0.148897916,23.9921902,47.12388632,-0.126897911,-0.437761093,29.24044178,13.3375636,66.3752976,4.085807412,31592.13213
DEU,Germany,0.138592522,-0.381814614,0.05478062,4.392626728,0.162739664,-0.285179009,-0.223743824,-0.376752701,1.121887287,1.208865515,0.298421399,1531.595575,0.172412777,25.02421879,48.40963708,0.055608193,0.411377076,20.04462585,14.66638974,72.34069859,9.724676759,48768.64555
DNK,Denmark,0.446890451,-0.088501628,0.006527122,4.909745214,0.001814844,-0.238073997,0.255130012,0.056269765,1.25648415,1.351047677,0.130865902,1650.208578,0.222467219,21.60530017,8.881648947,-0.21262312,-0.703577073,19.4957742,12.72022228,84.6970715,7.699784631,50577.64092
DOM,Dominican Republic,-0.877457465,0.344152175,0.021315594,4.423637924,0.294318582,0.636474642,0.075971051,0.615521061,1.648075593,1.671129904,-0.391693089,1517.920472,-0.286248029,36.03294756,50.45618969,0.110646776,-0.21954274,26.74636604,29.69490243,60.83799437,10.89484623,14130
DZA,Algeria,-1.316477545,NA,-0.116705303,3.494949495,NA,0.286674061,NA,0.248806775,NA,NA,-0.204038402,NA,NA,29.38377476,64.4364146,0.203190521,0.40875743,34.13471155,17.32678805,37.58442079,34.38240219,11700
ESP,Spain,-0.449139338,-0.143480095,-0.072891,4.354041013,0.194155627,0.126095209,0.151786142,0.073047092,1.296603774,1.419374339,0.476273189,1701.686181,-0.09442541,26.93199919,15.65542898,0.232901043,0.273092539,25.64503791,12.52603678,82.02814985,11.14285521,34930.73513
EST,Estonia,0.086429242,-0.018012641,-0.067474089,5.040831207,0.035025798,-0.112031783,-0.188197309,-0.080096082,1.309187603,1.479765611,-0.070359836,1529.580559,0.244752298,25.09265826,42.4786502,0.048398294,0.073618034,16.91183982,11.88048031,75.50556734,5.75178625,28799.22637
FIN,Finland,0.25915308,-0.628187546,-0.105715233,5.282037997,-0.080933351,-0.276044004,-0.014755589,0.198873021,1.499044641,1.628372498,0.089096965,1450.625779,0.230746514,19.07246611,12.91254517,0.090462072,-0.003953243,32.50018667,10.29719446,86.64688578,6.406436218,42919.62062
FRA,France,-0.117673742,-0.254784525,-0.265338942,4.714163968,-0.056502479,-0.145615019,-0.292634779,-0.169833265,1.159308693,1.35797399,-0.055228035,1633.271287,-0.083761328,29.26205845,24.33160423,-0.166202255,0.167766529,18.02867275,12.34055191,84.83231011,19.70922585,41722.84099
GBR,United Kingdom,0.219543186,0.46026674,-0.04433496,4.838727077,-0.043420376,0.317699871,0.117363781,0.182244303,1.34832867,1.448342072,-0.078494021,1608.6347,0.400880892,24.35316076,79.33621757,0.042984437,-0.115003953,12.94480111,14.6710208,93.21166755,10.62723147,41549.40007
GEO,Georgia,-0.300381052,NA,0.352080404,5.082523347,NA,0.641355351,NA,0.367038942,NA,NA,0.199223762,NA,NA,39.0627557,39.26108686,0.354734444,-0.337563497,12.55048092,13.95306729,70.46157009,15.56798299,11820
GRC,Greece,-0.021921795,-0.083615095,-0.194899637,4.85997815,0.040659017,0.032286647,0.04025273,0.03081347,1.251340854,1.62245653,0.111425206,1626.069264,-0.55126016,23.51909772,18.5451229,0.393663891,0.609917982,15.32048721,9.583104893,45.53701806,6.296606387,26939.41763
HKG,Hong Kong (China),-0.555789207,0.205428059,0.357232859,3.661645423,-0.032455929,0.158665985,0.080127733,0.003989651,1.051072717,1.068276911,-0.346188039,1726.225332,0.211470427,30.68466832,94.85463456,-0.244232171,-0.204863629,17.10467826,13.49505067,91.12587046,12.64696139,57453.40511
HRV,Croatia,-0.242623603,-0.241465671,-0.048200373,4.719923171,0.020661721,0.047495286,-0.164826595,-0.33345005,1.173675875,1.326584507,0.052731366,1563.568469,-0.115082377,24.83397238,52.00769572,0.871914475,-0.018838654,55.90142516,11.54394618,89.69028785,25.70902112,22870
HUN,Hungary,-0.177236571,-0.289403381,-0.082229104,4.734870317,-0.016837682,-0.002238728,-0.126543394,-0.311306761,1.105779716,1.228862974,0.073882718,1579.708341,-0.063428398,28.15619891,51.98610917,0.514168487,0.093214359,21.64843815,9.859689711,91.14670336,4.874657069,25458.60227
IDN,Indonesia,-1.790850323,NA,0.214797183,2.922093918,NA,0.31946179,NA,0.090163839,NA,NA,0.111870935,NA,NA,30.88705161,58.59174531,0.868612642,-0.122267502,9.231286138,15.72022467,86.32469983,5.023919554,9910
IRL,Ireland,0.155712793,0.390970656,0.094614501,4.9471162380000004,0.029817725,0.001083863,-0.022240227,0.080565646,1.296263503,1.289023521,-0.012707194,1705.442196,0.099791014,24.56320346,34.64741031,0.247070141,0.121774067,12.45150598,14.4474862,91.33131159,8.005139843,53151.82157
ISL,Iceland,0.741830582,0.392933486,0.017076474,5.193003989,-0.079378396,-0.443906676,0.073467394,0.308400133,1.066092837,1.260358689,0.198980897,1579.543963,-0.434053832,20.33614177,9.958869798,-0.400941718,-0.258548984,10.64422834,9.912113553,45.38159101,12.2540794,46480
ISR,Israel,0.175646424,0.845052082,-0.020459347,4.993493416,0.251681499,-0.049804597,-0.049282128,-0.051325546,1.443993126,1.543944854,NA,1696.466343,NA,29.6090045,57.50965468,0.439377381,0.338146901,18.56276715,11.55581293,80.22856223,13.29310441,35144.32457
ITA,Italy,-0.045011271,-0.286589558,-0.031613319,4.368141593,-0.115737028,0.023910966,-0.108589968,-0.185129526,1.68795588,1.53535263,0.081554947,1736.800826,NA,23.32197281,45.65377423,0.557597939,0.349994127,13.21383021,10.49509424,4.696721869,23.15444856,36654.13327
JOR,Jordan,-0.388204818,NA,-0.090026134,4.583578123,NA,0.461200216,NA,0.390117652,NA,NA,0.191982574,NA,NA,32.71760349,51.52248959,0.701632871,0.884847366,40.04917581,17.03398587,83.53157506,29.60725043,9230
JPN,Japan,-0.183173372,-0.511793035,0.851620709,5.015556938,-0.22317891,-0.359620053,-0.239986205,-0.138866417,1.025098276,1.042479214,-0.032949796,1652.800247,-0.206931812,36.10179265,59.82229181,0.72053446,0.49262888,17.52581011,11.51927295,NA,28.8042714,41958.23844
KOR,Korea,-0.201849982,0.335609501,0.623999805,4.599421024,-0.017721785,-0.36604274,-0.051873336,-0.085541374,1.026063348,1.03551368,0.159020278,1817.456256,-1.441506458,31.02049453,92.81694286,0.417877306,0.193938721,32.97169308,15.08690713,88.64012438,10.31084481,38026.03347
KSV,Kosovo,-0.138164302,NA,0.556209216,4.689169295,NA,0.360101847,NA,0.63826186,NA,NA,0.293615358,NA,NA,28.14893103,51.62555484,0.539972287,-0.155997041,26.72077762,19.11772305,74.71356315,16.64604313,9576
LBN,Lebanon,-0.559556794,NA,-0.099133521,4.149842979,NA,0.604708198,NA,0.254073549,NA,NA,0.026856234,NA,NA,28.46224877,43.50976532,0.023493345,-0.138775218,16.89332722,11.57655654,71.60850305,13.45585983,14910
LTU,Lithuania,-0.073899084,-0.02763619,0.04674323,5.122342114,0.093094735,0.234963777,-0.08020907,0.069145399,1.333970682,1.58690781,-0.286318099,1493.095318,-0.100647871,24.14018412,34.4788099,0.291472514,-0.476289269,7.098784098,10.39216611,94.50207087,3.825326675,27783.28099
LUX,Luxembourg,0.077374686,-0.173213508,-0.118502702,4.447196354,0.035094905,-0.185376971,-0.312677896,-0.32250631,1.176082314,1.221397891,0.139404781,1596.918067,-0.153225541,21.41420204,32.48847238,-0.160776875,0.393074486,23.12310469,9.660247057,75.58407576,2.45788207,67615.720189999993
LVA,Latvia,-0.420273656,-0.029401498,-0.168169287,4.993341656,-0.293687557,0.251480863,0.175180547,-0.046508302,1.322722513,1.527486362,-0.204829391,1510.396963,0.653257997,21.25616749,45.38394031,-0.188029764,-0.214029965,28.06074835,10.0890511,79.02596097,4.164633543,24692.54758
MAC,Macao (China),-0.543140027,-0.497411379,0.159798806,3.541197659,-0.150495035,-0.121401628,-0.065756530999999993,-0.065500737,1.084283479,1.120465741,-0.404073815,1697.683125,0.491555411,35.29519879,74.24081946,0.198495809,0.234471726,20.38048739,14.66833648,92.80083436,25.13941054,107640
MDA,Moldova,-0.672491093,NA,0.379676419,4.507210626,NA,0.533141234,NA,0.452793879,NA,NA,0.039230544,NA,NA,24.63259463,17.06353664,0.17213357,-0.349606656,32.75187851,12.86580481,50.41816224,21.5067169,9790
MEX,Mexico,-1.147061023,0.264655797,0.051048609,3.512012814,0.183565066,0.34979628,0.303631574,0.468346363,1.292979846,1.312601847,-0.137376868,1679.883471,0.125370949,39.07942548,28.72420109,0.460337225,0.099472956,10.63095141,28.49586378,66.86235703,10.65425857,17982.68576
